experiment,sub_experiment,script,text_tag,input_text,speaker_condition,speaker_embedding_source,spectrogram_path,waveform_path,spectrogram_frames,spectrogram_bins,waveform_duration_sec,sample_rate_saved,waveform_rms,generation_time_sec,timestamp
exp5_speecht5_tts,5A,GA20F,llamas,There are llamas all around.,helper_embedding,cmu_arctic_reference_embedding,hw14_experiments/group_b_structured_tts/exp5_speecht5_tts/ga20f_exp5_llamas_helper_embedding_spectrogram.png,hw14_experiments/group_b_structured_tts/exp5_speecht5_tts/ga20f_exp5_llamas_helper_embedding.wav,80,92,1.472,16000,0.07161140441894531,0.8590151380000179,2026-04-04 06:55:45
exp5_speecht5_tts,5A,GA20F,llamas,There are llamas all around.,zero_vector,documented_zero_vector_control,hw14_experiments/group_b_structured_tts/exp5_speecht5_tts/ga20f_exp5_llamas_zero_vector_spectrogram.png,hw14_experiments/group_b_structured_tts/exp5_speecht5_tts/ga20f_exp5_llamas_zero_vector.wav,80,68,1.088,16000,0.024454405531287193,0.6436801759999753,2026-04-04 06:55:46
exp5_speecht5_tts,5A,GA20F,hello_dog,"Hello, my dog is cute.",helper_embedding,cmu_arctic_reference_embedding,hw14_experiments/group_b_structured_tts/exp5_speecht5_tts/ga20f_exp5_hello_dog_helper_embedding_spectrogram.png,hw14_experiments/group_b_structured_tts/exp5_speecht5_tts/ga20f_exp5_hello_dog_helper_embedding.wav,80,78,1.248,16000,0.07733965665102005,0.6277422780000279,2026-04-04 06:55:48
exp5_speecht5_tts,5A,GA20F,hello_dog,"Hello, my dog is cute.",zero_vector,documented_zero_vector_control,hw14_experiments/group_b_structured_tts/exp5_speecht5_tts/ga20f_exp5_hello_dog_zero_vector_spectrogram.png,hw14_experiments/group_b_structured_tts/exp5_speecht5_tts/ga20f_exp5_hello_dog_zero_vector.wav,80,64,1.024,16000,0.03131915628910065,0.5493898000000854,2026-04-04 06:55:49
exp5_speecht5_tts,5A,GA20F,banking_request,I need to transfer money from savings to checking today.,helper_embedding,cmu_arctic_reference_embedding,hw14_experiments/group_b_structured_tts/exp5_speecht5_tts/ga20f_exp5_banking_request_helper_embedding_spectrogram.png,hw14_experiments/group_b_structured_tts/exp5_speecht5_tts/ga20f_exp5_banking_request_helper_embedding.wav,80,194,3.104,16000,0.07165611535310745,1.492505157000096,2026-04-04 06:55:51
exp5_speecht5_tts,5A,GA20F,banking_request,I need to transfer money from savings to checking today.,zero_vector,documented_zero_vector_control,hw14_experiments/group_b_structured_tts/exp5_speecht5_tts/ga20f_exp5_banking_request_zero_vector_spectrogram.png,hw14_experiments/group_b_structured_tts/exp5_speecht5_tts/ga20f_exp5_banking_request_zero_vector.wav,80,146,2.336,16000,0.030934855341911316,1.1577967619999754,2026-04-04 06:55:52
