domain,system_id,mean_wer,mean_cer,mean_runtime_sec,sample_count,source_experiment
ASR,ga20c_whisper_direct,0.1689111642979765,0.09075656202107585,2.372608658291559,24,exp2_shortform_asr
ASR,ga20a_whisper_pipeline,0.18840041160980447,0.0994927452978794,0.49051091458318297,24,exp2_shortform_asr
ASR,ga20b_wav2vec2_ctc,0.3898884615314602,0.195176871973441,0.36647609412496723,24,exp2_shortform_asr
ASR,ga20e_speecht5_asr,0.5661576074773736,0.43147986133021843,1.1967924788332691,24,exp2_shortform_asr
TTS,speecht5,0.06666666666666667,0.012345679012345666,1.0063584766666434,3,exp8_cross_tts
TTS,mms_tts,0.20000000000000004,0.13209876543209875,0.48024712033331224,3,exp8_cross_tts
TTS,bark_preset,0.3333333333333333,0.24691358024691357,29.367716409999883,3,exp8_cross_tts
