experiment,script,task_type,baseline_mode,dataset_sample_index,reference_text,predicted_text,model_name,input_text,voice_condition,input_sampling_rate,saved_sampling_rate,output_audio_path,output_text_path,output_figure_path,runtime_sec,timestamp,notes
exp1_baselines,GA20F,tts,True,,,,microsoft/speecht5_tts,There are llamas all around.,helper_embedding,,16000,hw14_experiments/group_b_structured_tts/exp1_baselines/ga20f_baseline/ga20f_baseline.wav,,hw14_experiments/group_b_structured_tts/exp1_baselines/ga20f_baseline/ga20f_baseline_spectrogram.png,1.2467117269999335,2026-04-04 06:55:33,Baseline-equivalent SpeechT5 helper-embedding path with spectrogram and 16 kHz waveform export.
exp1_baselines,GA20G,tts,True,,,,facebook/mms-tts-eng,Hello - my dog is cute,default,,16000,hw14_experiments/group_b_structured_tts/exp1_baselines/ga20g_baseline/ga20g_baseline.wav,,,0.5289903169999661,2026-04-04 06:55:40,Baseline-equivalent MMS-TTS path with the original hard-coded 16 kHz save behavior preserved.
